RSSD9001,RSSD9050,RSSD9999,RSSDSubmissionDate,RSSD9055,RSSDOTSDocketNumber,RSSD9042,RSSD9017,RSSDFinInstAddress,RSSD9130,RSSD9200,RSSD9220,RSSDFinInstFilingType,RCFN5513,RCFNK260,RCFNK290,RCFNB554,RCFNB555,RCFNB553,RCFN2650,RCFN2625,RCFNGW43,RCFNB902,RCFNB903,RCFNB900,RCFNB901,RCFNK293,RCFNK291,RCFNK292,RCFNK296,RCFNK294,RCFNK295,RCFNK289,RCFN6631,RCFNB572,RCFNB573,RCFNB574,RCFN3404,RCFN3360,RCFNA245,RCFN6636,RCFNF235,RCFN2200,RCFNF234,RCFN2133,RCFN2898,RCFN3542,RCFN3543
3720,15671,06/30/2022,27JUL2022:16:27:25,0,0,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,15671,09/30/2022,28OCT2022:13:21:38,0,0,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,15671,12/31/2022,20JAN2023:09:27:18,0,0,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,15671,03/31/2023,25APR2023:16:39:22,0,0,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,28865,03/31/2022,29APR2022:12:01:43,702518,2518,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,28865,06/30/2022,29JUL2022:11:39:08,702518,2518,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,28865,09/30/2022,28OCT2022:09:24:12,702518,2518,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,28865,12/31/2022,30JAN2023:10:07:49,702518,2518,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,28865,03/31/2023,26APR2023:16:45:16,702518,2518,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,13157,03/31/2022,14APR2022:10:38:58,0,0,101102124,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,13157,06/30/2022,25JUL2022:11:07:05,0,0,101102124,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,13157,09/30/2022,24OCT2022:16:17:56,0,0,101102124,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,13157,12/31/2022,27JAN2023:09:38:50,0,0,101102124,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,13157,03/31/2023,17APR2023:14:14:21,0,0,101102124,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,16440,03/31/2022,11APR2022:15:02:44,0,0,61212345,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET,SYLVANIA,GA,30467,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,16440,06/30/2022,15JUL2022:12:48:41,0,0,61212345,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET,SYLVANIA,GA,30467,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,16440,09/30/2022,26OCT2022:16:16:26,0,0,61212345,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET,SYLVANIA,GA,30467,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,16440,12/31/2022,13JAN2023:17:01:22,0,0,61212345,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET,SYLVANIA,GA,30467,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
